text,label
merry christmas yall bitch hoe,1
holy fuck bomb as bitch bucees,1
bitch get stuff done,1
bitch got flameeee,1
umm home raising kid retarded,1
dont blame blame ya bitch cant help want nigga,1
bitch ya betta haha care love,1
never said wanted fuck tranny,1
feel bad bitch never disney world,1
honky tonk badonka ankh,2
moor used give kid free lunch bronx kid glad see still good,2
bitch called missing dick,1
yall confused day somebody put hoe dress,1
go home bitch,1
everybody dot moboredmickey factz battled clip wore ancient hong kong shit different colored hitops,1
oreo cookie pancake foodporn,2
aint trippen mo done dropped knocked owe could neva foo hoe put,1
know feelwaitno dont perfect week would yank getting lee gosox gopats,2
hannah retarded dont listen,1
im feeling totally useless world another baby bird found need tlc call drdolittle,2
im sick tired faggot cage trying see long moses kill royal worldseries barrybonds joke,1
sweetest bitch youll ever meet,1
cant bitch future goal love kid youre parent first cant deal,1
faggot,0
yeah know jeffs book one admits beating prisoner lying abo,2
open starburst candy get yellow lmao bruh,2
kobe dwight soft muthafucka bitch as nigga lmaooo,1
talking fucking right pussy,1
aint ho get trap hooouseee,1
love hoe,1
rule tie go runner safe yankee johnsterling,2
niggah waiting weekend take shit,1
fuck wrong cant call urself man u call girl bitch ur fuckin loser bro,1
thisty hoe,1
one day nigga gone learn fuck ugly bitch pregnancy need stopped,1
life short salty get u pussy happy,1
luck bitch gonna drug wont even kno happened lmao,1
getting field ready today game,2
holy fuck thank hate bitch fuck ex boyfriend back back like damn call peace pipe,1
birthday wish many big booty hoe mane shit ima turn birthday,1
lmao rt lmao rt youll never vega faggot punk bitch,1
apple need add colored emoji,2
kid sold brought back cooked brownie,2
know samklef said wasnt lie man guy think beast naija pop music trash wizkid,2
bruh sasuke sakuras daughter gonna bad uchiha bitch,1
hoe getting outta hand,1
nigga actin like bitch,1
fuck olive bitch,1
coon monkey like disgust minstrel show negro cry shit time youre disgrace everywhere,0
biebs getting fucked right pussy,1
ppl uk go dumb hard curse like shitting cunt like dam cunt cant shit,1
got ya bitch tip toeing hardwood floor,1
im hollywood nig u brought twitter n bounced,1
low turnout reported charlie crist filed emergency motion extend voting hour broward co,2
yall forget brand new baby girl home bitch cooky burning,1
lol love little bitch,1
would def call dwight cradle robbing faggot kobe,1
like youre bitch bitch cuz got flower emojis tweet doesnt mean youre som,1
pink nipple cute looking nasty bitch,1
im rick james bitch show ya titty,1
fat bitch im thick,1
nigga talk bitch day,1
dont ever afraid double bitch ppl always expect like im sorry got loud im sorry,1
town movie friend stabbed nig time got sent prison justice,0
boy yo bitch lame dont nobody know,1
aint trippen cause like anyways got niggah got girl anyways yea anyways,1
ion care im wrong bitch dont blow ur horn,1
face make see hoe trying preach twitter,1
really baggin bitch problem basketball short b dont know smile cologne maybe swag idk,1
everybody getting fuck right pussy sayin,1
showing fairy blocked,2
freshman ghetto lmao,1
im crazy wayne rap pussy song row,1
people time aryan race stand say mongerls turn world ghetto slum,0
look bitch go suck dick im real street nicca aint wit dat sucka shit,1
fuuck jalens slow bitch,0
every bitch as instagram bio like deleted k booking email backpagepussycom,1
dem hoe nigga fucking retired widow new race fuck black woman,1
bitch yell step tell dont eat damn chicken tf,1
v neck ho,1
hung dude wasnt fuckin bitch,1
good morning charlie,2
calm little asian lol go flip bitch,1
sometimes wish cute pet monkey remember would probably defecate everywhere beat destroy house,2
nigga straight gentleman speaks bitch come funky as attitude gentleman shit go window,1
well damn sure aint putting pussy as romo jersey,1
aint finna sleep bitch oclock finish noddin meet top,1
know pussy as coward weaker smaller like gz,1
isnt ebola type soup naw nigga country bitch ebolian,1
pornandroidiphoneipadsexxxx desi spicy oriental paki brunette suck un,1
tweeted man telling go kitchen season could tell mom father probably wouldnt leftbitch,1
club good lookin bitch gold teeth tho confused smh,1
niccas want war give got wethelastonesleft umightnotgetin beerandtacos,1
lol gonna fun got two niglets way,1
liked one bitch always shit causing fucking drama,1
studying bio test like hoe,1
ask governor supposed pay typical teabagger mentality government evil need lol morningjoe,2
